model_name,lr,wd,max_len,epochs,value
albert-base-v2,0.0001444730100124449,0.0006460103029726125,256,12,0.17073170731707318
albert-base-v2,5.023580131511781e-05,0.00013047330047709675,256,11,0.3780821917808219
microsoft/deberta-v3-small,1.850493829921726e-05,0.0023880176306620158,256,6,0.0
microsoft/deberta-v3-small,1.2122558493725781e-05,0.0010515322647756857,256,8,0.0
albert-base-v2,1.7313713653696466e-05,0.0007139827921816173,128,5,0.5
microsoft/deberta-v3-small,0.00025421618416693206,0.00016054143678221464,128,3,0.0
microsoft/deberta-v3-small,1.0925169115358757e-05,0.0031513906809561175,256,9,0.0
microsoft/deberta-v3-small,9.962974538812354e-05,0.00010043328169024862,256,4,0.0
albert-base-v2,5.301649404374387e-05,0.00013407503225279865,128,6,0.42829827915869984
microsoft/deberta-v3-small,2.1132547698019492e-05,0.005299596962114173,128,6,0.0
albert-base-v2,0.0007142409231786816,0.0004455803660421996,128,4,0.11304347826086956
albert-base-v2,4.242896530434675e-05,0.00028917887065442097,128,6,0.40372670807453415
albert-base-v2,3.999883610888353e-05,0.001407608990522169,128,5,0.4731182795698925
albert-base-v2,2.6799668596109346e-05,0.0012735625874098504,128,4,0.49
albert-base-v2,2.3584694064517763e-05,0.0017544751063566777,128,3,0.5368421052631579
albert-base-v2,9.152599820634468e-05,0.009327237365234843,128,3,0.12612612612612611
albert-base-v2,1.7649749148892226e-05,0.0023239178998004408,128,8,0.49572649572649574
albert-base-v2,0.00025755824059175704,0.0006464964482753903,128,3,0.0
albert-base-v2,2.8856984895352034e-05,0.00030990827691292126,128,5,0.5177664974619289
albert-base-v2,3.472462905179019e-05,0.0002925849746549536,128,10,0.4781783681214421
albert-base-v2,7.312455624133043e-05,0.0002890874885266256,128,7,0.37467018469656993
albert-base-v2,1.3791942955723714e-05,0.0005706032525093347,128,5,0.5223529411764706
albert-base-v2,1.0132109420711203e-05,0.00039752033867623663,128,5,0.4890282131661442
albert-base-v2,2.738439864410027e-05,0.0017893584696083863,128,4,0.4806201550387597
albert-base-v2,1.4486787560671688e-05,0.0009154418561728518,128,7,0.5070422535211268
albert-base-v2,2.69461651968552e-05,0.0001924042886914142,128,5,0.4
albert-base-v2,0.0001740867935217469,0.0005463673475968465,128,3,0.0
albert-base-v2,6.524943755907743e-05,0.004693058407818343,128,4,0.2175732217573222
albert-base-v2,2.381197858644432e-05,0.00022996776861886536,128,7,0.49142857142857144
albert-base-v2,0.0007815043899911276,0.000879494179121254,256,5,0.17670682730923695
albert-base-v2,3.322902021456481e-05,0.00043241676835674414,128,12,0.4189189189189189
albert-base-v2,1.4205892126825737e-05,0.0008072537435151788,128,7,0.5419664268585132
albert-base-v2,1.3931383898898411e-05,0.0015341604255269402,128,9,0.5172413793103449
albert-base-v2,1.4484348415837294e-05,0.0007388461082757189,128,6,0.4528301886792453
albert-base-v2,1.94294034105258e-05,0.0005435273008195384,256,8,0.3888888888888889
microsoft/deberta-v3-small,1.0119503804016649e-05,0.00115538212923893,128,9,0.0
albert-base-v2,1.5325405430704366e-05,0.0019026764159271892,256,11,0.38686131386861317
microsoft/deberta-v3-small,4.819333133392326e-05,0.00034683827735372086,128,7,0.0
albert-base-v2,2.0897354819138406e-05,0.002974432184572691,256,5,0.4306930693069307
microsoft/deberta-v3-small,1.2801230166151597e-05,0.0008172019132214858,128,3,0.0
albert-base-v2,3.141977064485842e-05,0.0010357015885844906,128,6,0.456575682382134
albert-base-v2,1.3924099804147422e-05,0.001586408841379012,128,9,0.5187165775401069
albert-base-v2,1.7333460783412635e-05,0.0005198819298935166,128,10,0.5028901734104047
albert-base-v2,2.1343989898036458e-05,0.0023295913659932485,128,10,0.44785276073619634
albert-base-v2,1.6201368267787745e-05,0.003523242832016582,128,8,0.5221932114882507
albert-base-v2,1.2612687652271814e-05,0.0037759212362751247,128,8,0.5071225071225072
microsoft/deberta-v3-small,1.690014471630989e-05,0.007116428601648609,256,9,0.0
albert-base-v2,0.00036819999228653445,0.0016970228554606481,128,9,0.13452914798206278
albert-base-v2,1.1483477563376499e-05,0.003023728707778534,128,8,0.5194805194805194
albert-base-v2,1.150990734370546e-05,0.00418643048681362,128,8,0.5014245014245015
